"PI_num","JS_ID","plant_num","n"
"1","PI_533757","JS7","340",1
"2","PI_533758","JS8","502",1
"3","PI_533761","JS10","597",1
"4","PI_533792","JS271","479",1
"5","PI_533792","JS271","512",1
"6","PI_533800","JS17","638",1
"7","PI_533814","JS20","368",1
"8","PI_533821","JS21","524",1
"9","PI_533824","JS22","339",1
"10","PI_533830","JS23","308",1
"11","PI_533830","JS23","460",1
"12","PI_533830","JS23","540",1
"13","PI_533863","JS30","439",1
"14","PI_533866","JS31","400",1
"15","PI_533871","JS274","617",1
"16","PI_533903","JS37","469",1
"17","PI_533903","JS37","482",1
"18","PI_533910","JS38","527",1
"19","PI_533911","JS39","281",1
"20","PI_533915","JS41","287",1
"21","PI_533921","JS43","591",1
"22","PI_533936","JS45","477",1
"23","PI_533938","JS47","311",1
"24","PI_533955","JS54","505",1
"25","PI_533957","JS56","580",1
"26","PI_533996","JS71","561",1
"27","PI_533998","JS277","320",1
"28","PI_533998","JS277","623",1
"29","PI_534046","JS76","521",1
"30","PI_534079","JS82","643",1
"31","PI_534114","JS90","618",1
"32","PI_534117","JS93","312",1
"33","PI_534117","JS93","593",1
"34","PI_534148","JS100","510",1
"35","PI_534155","JS101","454",1
"36","PI_534163","JS103","622",1
"37","PI_561072","JS107","437",1
"38","PI_564165","JS110","466",1
"39","PI_576337","JS114","632",1
"40","PI_576348","JS119","476",1
"41","PI_576366","JS123","598",1
"42","PI_576375","JS125","343",1
"43","PI_576380","JS127","582",1
"44","PI_576381","JS128","366",1
"45","PI_576425","JS139","351",1
"46","PI_576428","JS140","389",1
"47","PI_595739","JS147","603",1
"48","PI_595740","JS148","344",1
"49","PI_595741","JS149","607",1
"50","PI_595743","JS150","548",1
"51","PI_595744","JS151","459",1
"52","PI_597958","JS159","475",1
"53","PI_597958","JS159","536",1
"54","PI_613536","JS172","552",1
"55","PI_629059","JS174","423",1
"56","PI_655974","JS179","399",1
"57","PI_655977","JS182","401",1
"58","PI_655993","JS186","565",1
"59","PI_656002","JS190","305",1
"60","PI_656003","JS290","481",1
"61","PI_656020","JS203","388",1
"62","PI_656027","JS207","349",1
"63","PI_656031","JS209","410",1
"64","PI_656033","JS210","314",1
"65","PI_656046","JS219","377",1
"66","PI_656059","JS226","326",1
"67","PI_656075","JS234","440",1
"68","PI_656085","JS240","370",1
"69","PI_656086","JS293","428",1
"70","PI_656087","JS241","509",1
"71","PI_656108","JS254","289",1
"72","PI_656119","JS262","491",1
"73","PI_659693","JS265","571",1
